branch_code,branch_name,college_code,core_branch
617719110,Civil Engineering,6177,Civil Engineering
618219110,Civil Engineering,6182,Civil Engineering
618419110,Civil Engineering,6184,Civil Engineering
618719110,Civil Engineering,6187,Civil Engineering
620319110,Civil Engineering,6203,Civil Engineering
620719110,Civil Engineering,6207,Civil Engineering
621419110,Civil Engineering,6214,Civil Engineering
621719110,Civil Engineering,6217,Civil Engineering
621919110,Civil Engineering,6219,Civil Engineering
622019110,Civil Engineering,6220,Civil Engineering
622219110,Civil Engineering,6222,Civil Engineering
622319110,Civil Engineering,6223,Civil Engineering
625019110,Civil Engineering,6250,Civil Engineering
626519110,Civil Engineering,6265,Civil Engineering
626719110,Civil Engineering,6267,Civil Engineering
626819110,Civil Engineering,6268,Civil Engineering
626919110,Civil Engineering,6269,Civil Engineering
627019110,Civil Engineering,6270,Civil Engineering
627219110,Civil Engineering,6272,Civil Engineering
627319110,Civil Engineering,6273,Civil Engineering
627519110,Civil Engineering,6275,Civil Engineering
627719110,Civil Engineering,6277,Civil Engineering
627819110,Civil Engineering,6278,Civil Engineering
628319110,Civil Engineering,6283,Civil Engineering
628419110,Civil Engineering,6284,Civil Engineering
628819110,Civil Engineering,6288,Civil Engineering
629819110,Civil Engineering,6298,Civil Engineering
630319110,Civil Engineering,6303,Civil Engineering
630419110,Civil Engineering,6304,Civil Engineering
630519110,Civil Engineering,6305,Civil Engineering
630819110,Civil Engineering,6308,Civil Engineering
631319110,Civil Engineering,6313,Civil Engineering
631519110,Civil Engineering,6315,Civil Engineering
631719110,Civil Engineering,6317,Civil Engineering
631919110,Civil Engineering,6319,Civil Engineering
632019110,Civil Engineering,6320,Civil Engineering
632119110,Civil Engineering,6321,Civil Engineering
632419110,Civil Engineering,6324,Civil Engineering
632519110,Civil Engineering,6325,Civil Engineering
632619110,Civil Engineering,6326,Civil Engineering
644419110,Civil Engineering,6444,Civil Engineering
646619110,Civil Engineering,6466,Civil Engineering
654519110,Civil Engineering,6545,Civil Engineering
660919110,Civil Engineering,6609,Civil Engineering
662819110,Civil Engineering,6628,Civil Engineering
663219110,Civil Engineering,6632,Civil Engineering
663419110,Civil Engineering,6634,Civil Engineering
663519110,Civil Engineering,6635,Civil Engineering
664019110,Civil Engineering,6640,Civil Engineering
664319110,Civil Engineering,6643,Civil Engineering
664419110,Civil Engineering,6644,Civil Engineering
