College_Code,College_Name,Branch_Code,Branch_Name,min,max
5433,"R.C. Patel College of Engineering and Polytechnic, Shirpur",543324510,Computer Engineering,2024,2024
5433,"R.C. Patel College of Engineering and Polytechnic, Shirpur",543324610,Information Technology,2024,2024
5433,"R.C. Patel College of Engineering and Polytechnic, Shirpur",543384410,Electronics and Computer Engineering,2024,2024
5433,"R.C. Patel College of Engineering and Polytechnic, Shirpur",543392110,Artificial Intelligence and Machine Learning,2024,2024
5449,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",544991710,Data Science,2024,2024
5449,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",544992110,Artificial Intelligence and Machine Learning,2024,2024
5509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",550924510,Computer Engineering,2024,2024
5509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",550924610,Information Technology,2024,2024
5509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",550937210,Electronics and Telecommunication Engg,2024,2024
5509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",550999510,Artificial Intelligence and Data Science,2024,2024
5513,"MKD Institute of Technology, Nadurbar",551319110,Civil Engineering,2024,2024
5513,"MKD Institute of Technology, Nadurbar",551324510,Computer Engineering,2024,2024
5513,"MKD Institute of Technology, Nadurbar",551337210,Electronics and Telecommunication Engg,2024,2024
6007,"Walchand College of Engineering, Sangli",600721970U,Robotics and Automation,2024,2024
6007,"Walchand College of Engineering, Sangli",600724270U,Computer Science and Engineering,2024,2024
6007,"Walchand College of Engineering, Sangli",600724670U,Information Technology,2024,2024
6007,"Walchand College of Engineering, Sangli",600792170U,Artificial Intelligence and Machine Learning,2024,2024
6146,"MIT Academy of Engineering,Alandi, Pune",614691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
6146,"MIT Academy of Engineering,Alandi, Pune",614691210,Computer Science and Engineering(Data Science),2024,2024
6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",614925310,Internet of Things (IoT),2024,2024
6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",614984410,Electronics and Computer Engineering,2024,2024
6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",614992110,Artificial Intelligence and Machine Learning,2024,2024
6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",614999510,Artificial Intelligence and Data Science,2024,2024
6179,"Indira College of Engineering & Management, Pune",617924610,Information Technology,2024,2024
6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",620326610,Robotics and Artificial Intelligence,2024,2024
6206,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",620624510,Computer Engineering,2024,2024
6206,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",620624610,Information Technology,2024,2024
6206,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",620637210,Electronics and Telecommunication Engg,2024,2024
6206,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",620661210,Mechanical Engineering,2024,2024
6206,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",620699510,Artificial Intelligence and Data Science,2024,2024
6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",621421910,Robotics and Automation,2024,2024
6217,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions",621784410,Electronics and Computer Engineering,2024,2024
6222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",622246510,Technical Textiles,2024,2024
6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",626826210,Computer Science and Business Systems,2024,2024
6270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",627099510,Artificial Intelligence and Data Science,2024,2024
6271,Pune Institute of Computer Technology,627124510,Computer Engineering,2024,2024
6271,Pune Institute of Computer Technology,627124610,Information Technology,2024,2024
6271,Pune Institute of Computer Technology,627126310,Artificial Intelligence (AI) and Data Science,2024,2024
6271,Pune Institute of Computer Technology,627137210,Electronics and Telecommunication Engg,2024,2024
6271,Pune Institute of Computer Technology,627184410,Electronics and Computer Engineering,2024,2024
6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",627319110,Civil Engineering,2024,2024
6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",627391210,Computer Science and Engineering(Data Science),2024,2024
6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",627392010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,2024,2024
6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",627392710,Computer Engineering (Software Engineering),2024,2024
6274,"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management, Pune",627484110,Printing and Packing Technology,2024,2024
6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",627562410,Mechatronics Engineering,2024,2024
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",627892110,Artificial Intelligence and Machine Learning,2024,2024
6281,"Modern Education Society's Wadia College of Engineering, Pune",628124510,Computer Engineering,2024,2024
6281,"Modern Education Society's Wadia College of Engineering, Pune",628137210,Electronics and Telecommunication Engg,2024,2024
6281,"Modern Education Society's Wadia College of Engineering, Pune",628161210,Mechanical Engineering,2024,2024
6281,"Modern Education Society's Wadia College of Engineering, Pune",628191610,Automation and Robotics,2024,2024
6303,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",630399510,Artificial Intelligence and Data Science,2024,2024
6304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli",630429310,Electrical Engineering,2024,2024
6305,"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",630519110,Civil Engineering,2024,2024
6305,"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",630561210,Mechanical Engineering,2024,2024
6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",631024210,Computer Science and Engineering,2024,2024
6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",631091310,Computer Science and Engineering (Artificial Intelligence),2024,2024
6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",631099510,Artificial Intelligence and Data Science,2024,2024
6315,Sanjeevan Group of Institutions,631519110,Civil Engineering,2024,2024
6315,Sanjeevan Group of Institutions,631524210,Computer Science and Engineering,2024,2024
6315,Sanjeevan Group of Institutions,631529310,Electrical Engineering,2024,2024
6315,Sanjeevan Group of Institutions,631561210,Mechanical Engineering,2024,2024
6315,Sanjeevan Group of Institutions,631584410,Electronics and Computer Engineering,2024,2024
