College_Name,District,Other district,,,,,,
"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad ƒ?? Patil College of Engineering, Nagpur",Nagpur,Nagpur,,,,,,
"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Nagpur,Nagpur,,,,,,
"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Sindhi(Meghe),Wardha,,,,,,
"V M Institute of Engineering and Technology, Dongargaon, Nagpur",Nagpur,Nagpur,,,,,,
"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Bhandara,Bhandara,,,,,,
"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Nagpur,Nagpur,,,,,,
"Suryodaya College of Engineering & Technology, Nagpur",Nagpur,Nagpur,,,,,,
"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Wardha,Wardha,,,,,,
"Bajaj Institute of Technology, Wardha",Wardha,Wardha,,,,,,
"Karanjekar College of Engineering & Management, Sakoli",Sakoli,Bhandara,,,,,,
"University Institute of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Government College of Engineering, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule","Engineering,Dhule",Dhule,,,,,,
"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Shri Gulabrao Deokar College of Engineering, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",Nashik,Nashik,,,,,,
"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Nashik,Nashik,,,,,,
"K. K. Wagh Institute of Engineering Education and Research, Nashik",Nashik,Nashik,,,,,,
"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Babulgaon,Nashik,,,,,,
"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Nashik,Nashik,,,,,,
"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Nashik,Nashik,,,,,,
"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar.,Ahmednagar,,,,,,
"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Nashik.,Nashik,,,,,,
"G H Raisoni College of Engineering and Management, Jalgaon",Jalgaon,Jalgaon,,,,,,
"G H Raisoni Institute of Engineering and Business Management, Jalgaon",Jalgaon,Jalgaon,,,,,,
